,Player,ast_per_g,blk_per_g,fg2_pct,fg3_pct,height,lb,pts_per_g,stl_per_g,tov_per_g,trb_per_g,years
0,Anthony Davis,2.3,0.3,0.47,0.311,74.0,0.0,13.3,1.6,0.0,4.4,4.0
0,Michael Kidd-Gilchrist,1.9,0.9,0.535,0.255,79.0,232.0,11.9,1.0,2.2,7.4,1.0
0,Bradley Beal,2.2,0.8,0.541,0.339,75.0,207.0,14.8,1.4,2.1,6.7,1.0
0,Dion Waiters,2.0,0.2,0.513,0.348,76.0,215.0,9.7,1.5,1.1,1.9,2.0
0,Thomas Robinson,1.0,0.7,0.525,0.5,81.0,237.0,9.8,0.6,1.6,7.3,3.0
0,Damian Lillard,3.5,0.2,0.497,0.39,74.0,185.0,18.6,1.2,2.4,4.3,4.0
0,Harrison Barnes,1.3,0.4,0.469,0.349,80.0,215.0,16.3,0.9,1.9,5.5,2.0
0,Terrence Ross,1.2,0.7,0.528,0.364,78.0,195.0,12.3,0.9,1.4,4.7,2.0
0,Andre Drummond,0.4,2.7,0.541,0.0,82.0,270.0,10.0,0.8,1.5,7.6,1.0
0,Austin Rivers,2.1,0.0,0.477,0.365,76.0,200.0,15.5,1.0,2.3,3.4,1.0
0,Meyers Leonard,0.7,1.1,0.585,0.083,85.0,245.0,7.7,0.3,1.4,4.7,2.0
0,Jeremy Lamb,1.7,0.6,0.573,0.348,77.0,180.0,14.1,1.0,1.6,4.7,2.0
0,Kendall Marshall,8.0,0.1,0.484,0.366,76.0,195.0,7.2,1.1,2.6,2.3,2.0
0,John Henson,1.0,2.5,0.505,0.208,83.0,220.0,10.3,0.6,1.5,8.1,3.0
0,Maurice Harkless,1.5,1.4,0.506,0.215,80.0,208.0,15.5,1.6,2.5,8.6,1.0
0,Royce White,5.0,0.9,0.541,0.333,80.0,270.0,13.4,1.2,3.8,9.3,1.0
0,Tyler Zeller,0.6,1.1,0.544,0.0,84.0,250.0,12.8,0.7,1.4,6.7,4.0
0,Terrence Jones,1.5,1.8,0.493,0.328,81.0,252.0,14.0,1.2,1.8,8.0,2.0
0,Andrew Nicholson,0.7,2.0,0.586,0.377,81.0,240.0,17.1,0.5,2.4,7.2,4.0
0,Jared Sullinger,1.2,0.8,0.541,0.365,81.0,265.0,17.3,1.1,1.8,9.7,2.0
0,Fab Melo,0.5,1.8,0.576,0.0,84.0,244.0,4.9,0.4,1.1,3.8,2.0
0,John Jenkins,1.1,0.3,0.521,0.438,76.0,0.0,16.9,0.7,1.3,2.7,3.0
0,Jared Cunningham,0.4,0.4,0.419,0.329,81.0,0.0,5.2,0.4,0.7,2.6,1.0
0,Tony Wroten,3.7,0.4,0.483,0.161,77.0,205.0,16.0,1.9,3.8,5.0,1.0
0,Miles Plumlee,0.3,0.6,0.557,1.0,82.0,245.0,4.8,0.5,1.0,4.8,4.0
0,Arnett Moultrie,1.2,0.8,0.555,0.444,83.0,249.0,16.4,0.8,2.4,10.5,3.0
0,Perry Jones,1.2,0.7,0.539,0.279,83.0,235.0,13.7,0.7,2.0,7.4,2.0
0,Marquis Teague,4.8,0.3,0.438,0.325,74.0,189.0,10.0,0.9,2.7,2.5,1.0
0,Festus Ezeli,0.1,1.7,0.562,0.0,83.0,255.0,7.7,0.3,1.6,4.5,4.0
0,Jeff Taylor,0.0,0.0,0.0,0.0,76.0,175.0,12.4,0.0,0.0,3.4,4.0
0,Jae Crowder,1.8,0.9,0.581,0.35,78.0,235.0,14.6,1.9,1.0,7.6,2.0
0,Draymond Green,2.9,0.8,0.496,0.361,79.0,230.0,10.5,1.2,1.9,7.6,4.0
0,Orlando Johnson,2.7,0.6,0.498,0.411,77.0,205.0,19.6,1.0,2.6,5.8,4.0
0,Quincy Acy,0.6,1.3,0.604,0.429,79.0,235.0,9.8,0.7,1.5,6.0,4.0
0,Quincy Miller,1.4,0.6,0.475,0.348,81.0,210.0,10.6,0.7,1.8,4.9,1.0
0,Khris Middleton,2.0,0.2,0.494,0.321,79.0,217.0,11.3,1.0,2.0,4.6,3.0
0,Will Barton,2.9,0.6,0.546,0.299,78.0,175.0,15.2,1.5,2.3,6.5,2.0
0,Tyshawn Taylor,3.9,0.2,0.518,0.37,75.0,185.0,10.8,1.2,2.6,2.2,4.0
0,Doron Lamb,1.6,0.1,0.492,0.475,76.0,210.0,13.1,0.5,1.2,2.3,2.0
0,Mike Scott,2.0,0.1,0.429,0.286,73.0,0.0,6.2,1.3,0.0,3.5,2.0
0,Kim English,1.4,0.2,0.444,0.394,78.0,200.0,11.1,1.1,1.7,3.0,4.0
0,Justin Hamilton,2.7,0.3,0.589,0.331,75.0,0.0,6.9,1.5,0.0,2.6,4.0
0,Darius Miller,1.8,0.7,0.509,0.379,80.0,225.0,8.2,0.8,1.4,3.2,4.0
0,Kevin Murphy,1.9,0.2,0.476,0.372,79.0,185.0,15.8,0.8,3.0,4.2,4.0
0,Kyle O'Quinn,0.9,2.2,0.62,0.261,82.0,240.0,12.5,0.5,2.0,8.5,4.0
0,Kris Joseph,1.5,0.5,0.501,0.331,79.0,210.0,10.5,1.3,1.6,4.5,4.0
0,Darius Johnson-Odom,2.5,0.2,0.476,0.403,74.0,215.0,15.7,0.9,2.1,3.1,3.0
0,Robbie Hummel,2.1,0.9,0.483,0.389,80.0,215.0,14.0,1.0,1.1,6.8,4.0
0,Marcus Denmon,1.7,0.1,0.518,0.401,75.0,185.0,12.6,1.3,1.0,3.4,4.0
0,Robert Sacre,0.7,1.4,0.505,0.25,84.0,260.0,9.3,0.5,1.6,5.0,5.0
