Player,ast_per_g,blk_per_g,fg2_pct,fg3_pct,height,lb,pts_per_g,stl_per_g,tov_per_g,trb_per_g,years,School,Pick,Games,WS
Carmelo Anthony,2.2,0.9,0.496,0.337,80,230,22.2,1.6,2.2,10,1,Syracuse,3,976,97
Chris Bosh,1.2,2.2,0.575,0.478,82,228,15.6,1,2.3,9,1,Georgia Tech,4,893,106
Dwyane Wade,3.9,1.2,0.512,0.333,76,212,19.7,2.3,3.1,6.5,2,Marquette,5,915,117.2
Chris Kaman,0.8,2.2,0.608,0,84,268,15.1,0.5,3.1,8.5,3,Central Michigan,6,735,24.6
Kirk Hinrich,4.7,0.4,0.542,0.43,75,190,12.4,1.5,2.7,3.8,4,Kansas,7,879,52.5
T.J. Ford,8,0.1,0.436,0.228,72,165,12.9,2.1,3.6,3.8,2,Texas,8,429,16.9
Mike Sweetney,1.8,1.9,0.546,0,80,275,18.2,1.1,2.5,9.2,3,Georgetown,9,233,7.8
Jarvis Hayes,1.8,0.5,0.524,0.372,79,220,18.4,1.2,1.8,4.8,3,Georgia,10,427,10.2
Nick Collison,1.8,1.7,0.571,0.359,81,255,14.8,1.1,2.140225564,8,4,Kansas,12,895,44.4
Marcus Banks,4.3,0.2,0.551,0.33,74,200,18.1,2.5,3.6,3.3,2,UNLV,13,348,6.6
Luke Ridnour,5.2,0.1,0.472,0.389,74,175,14.6,1.6,3.2,3,3,Oregon,14,830,36
Reece Gaines,3.8,0.2,0.502,0.383,78,205,15.6,1.5,2.7,3.4,4,Louisville,15,71,-0.6
Troy Bell,3.5,0.3,0.467,0.372,73,180,21.6,2.2,2.9,4,4,Boston College,16,6,-0.2
David West,2.1,1.8,0.54,0.327,81,240,16.9,1.4,2.5,10.4,4,Xavier,18,961,82.4
Dahntay Jones,1,0.5,0.527,0.347,78,210,14.3,1,1.8,4.8,4,Duke,20,657,28
Brian Cook,1.3,1,0.558,0.339,81,234,13.2,0.7,2,6.2,4,Illinois,24,421,10.2
Josh Howard,1.9,1.1,0.522,0.353,79,210,13.9,1.7,2.2,6.6,4,Wake Forest,29,507,38
Jason Kapono,2.1,0.1,0.489,0.446,80,213,16.5,0.9,2.3,5.1,4,UCLA,31,509,10.3
Luke Walton,4.5,0.4,0.47,0.284,80,235,9.1,1.2,2.6,5.1,4,Arizona,32,564,13.5
Mario Austin,1.1,0.6,0.534,0.353,81,224.73857,13.2,0.7,2.140225564,6.3,3,Mississippi State,36,0,0
Travis Hansen,1.7,0.4,0.455,0.369,78,205,13.2,0.7,2,4.8,3,Brigham Young,37,41,0.2
Steve Blake,7,0.3,0.423,0.381,75,172,8.3,1.7,3.3,3.4,4,Maryland,38,870,29.1
Derrick Zimmerman,4,0.7,0.533,0.268,75,195,6.9,1.6,2.140225564,3.3,4,Mississippi State,40,2,0
Willie Green,2.2,0.3,0.495,0.352,76,200,14.3,0.9,2,4.2,4,Detroit Mercy,41,731,12.9
Keith Bogans,2.3,0.1,0.527,0.342,77,215,14.2,1.1,2.3,4.1,4,Kentucky,43,671,20.4
Matt Bonner,1.2,0.5,0.564,0.395,82,240,12,0.7,2.140225564,5.9,4,Florida,45,792,38.5
Mo Williams,4.2,0.1,0.492,0.294,73,185,13.1,1.5,3,3.9,2,Alabama,47,818,40
