Player,ast_per_g,blk_per_g,fg2_pct,fg3_pct,height,lb,pts_per_g,stl_per_g,tov_per_g,trb_per_g,years,Pick,WS,Games,School
Carmelo Anthony,2.2,0.9,0.496,0.337,80,230,22.2,1.6,2.2,10,1,3,97,976,Syracuse
Chris Bosh,1.2,2.2,0.575,0.478,82,228,15.6,1,2.3,9,1,4,106,893,Georgia Tech
Dwyane Wade,3.9,1.2,0.512,0.333,76,212,19.7,2.3,3.1,6.5,2,5,117.2,915,Marquette
Chris Kaman,0.8,2.2,0.608,0,84,268,15.1,0.5,3.1,8.5,3,6,24.6,735,Central Michigan
Kirk Hinrich,4.7,0.4,0.542,0.43,75,190,12.4,1.5,2.7,3.8,4,7,52.5,879,Kansas
T.J. Ford,8,0.1,0.436,0.228,72,165,12.9,2.1,3.6,3.8,2,8,16.9,429,Texas
Mike Sweetney,1.8,1.9,0.546,0,80,275,18.2,1.1,2.5,9.2,3,9,7.8,233,Georgetown
Jarvis Hayes,1.8,0.5,0.524,0.372,79,220,18.4,1.2,1.8,4.8,3,10,10.2,427,Georgia
Nick Collison,1.8,1.7,0.571,0.359,81,255,14.8,1.1,2.195454545,8,4,12,44.4,895,Kansas
Marcus Banks,4.3,0.2,0.551,0.33,74,200,18.1,2.5,3.6,3.3,2,13,6.6,348,UNLV
Luke Ridnour,5.2,0.1,0.472,0.389,74,175,14.6,1.6,3.2,3,3,14,36,830,Oregon
Reece Gaines,3.8,0.2,0.502,0.383,78,205,15.6,1.5,2.7,3.4,4,15,-0.6,71,Louisville
Troy Bell,3.5,0.3,0.467,0.372,73,180,21.6,2.2,2.9,4,4,16,-0.2,6,Boston College
David West,2.1,1.8,0.54,0.327,81,240,16.9,1.4,2.5,10.4,4,18,82.4,961,Xavier
Dahntay Jones,1,0.5,0.527,0.347,78,210,14.3,1,1.8,4.8,4,20,28,657,Duke
Brian Cook,1.3,1,0.558,0.339,81,234,13.2,0.7,2,6.2,4,24,10.2,421,Illinois
Josh Howard,1.9,1.1,0.522,0.353,79,210,13.9,1.7,2.2,6.6,4,29,38,507,Wake Forest
Jason Kapono,2.1,0.1,0.489,0.446,80,213,16.5,0.9,2.3,5.1,4,31,10.3,509,UCLA
Luke Walton,4.5,0.4,0.47,0.284,80,235,9.1,1.2,2.6,5.1,4,32,13.5,564,Arizona
Mario Austin,1.1,0.6,0.534,0.353,81,224.5612787,13.2,0.7,2.195454545,6.3,3,36,0,0,Mississippi State
Travis Hansen,1.7,0.4,0.455,0.369,78,205,13.2,0.7,2,4.8,3,37,0.2,41,Brigham Young
Steve Blake,7,0.3,0.423,0.381,75,172,8.3,1.7,3.3,3.4,4,38,29.1,870,Maryland
Derrick Zimmerman,4,0.7,0.533,0.268,75,195,6.9,1.6,2.195454545,3.3,4,40,0,2,Mississippi State
Willie Green,2.2,0.3,0.495,0.352,76,200,14.3,0.9,2,4.2,4,41,12.9,731,Detroit Mercy
Keith Bogans,2.3,0.1,0.527,0.342,77,215,14.2,1.1,2.3,4.1,4,43,20.4,671,Kentucky
Matt Bonner,1.2,0.5,0.564,0.395,82,240,12,0.7,2.195454545,5.9,4,45,38.5,792,Florida
Mo Williams,4.2,0.1,0.492,0.294,73,185,13.1,1.5,3,3.9,2,47,40,818,Alabama
James Jones,1.2,1.6,0.444,0.383,80,225,11.1,1.1,1.5,5,4,49,25.2,709,Miami
Kyle Korver,2.3,0.5,0.515,0.453,79,210,14.1,1.3,1.8,5.2,4,51,65.2,1031,Creighton
Tommy Smith,1.7,1.4,0.513,0.31,82,227.3336402,9.2,1,2.195454545,4.8,4,53,0,0,Arizona State
Rick Rickert,1.3,1,0.518,0.361,83,230.1060017,14.9,0.7,2.195454545,5.7,2,55,0,0,Minnesota
Brandon Hunter,2.1,0.7,0.525,0.339,79,260,16.9,0.8,3.4,9.3,4,56,0.7,67,Ohio
Emeka Okafor,0.8,4.3,0.59,0,82,252,13.8,0.9,2.195454545,10.6,3,2,44.3,590,Connecticut
Ben Gordon,4.1,0.2,0.452,0.423,75,200,16.9,1.2,2.195454545,3.9,3,3,33.3,744,Connecticut
Devin Harris,3.1,0.4,0.522,0.375,75,185,14.8,1.7,2.195454545,4.1,3,5,50.9,846,Wisconsin
Josh Childress,1.8,1.1,0.494,0.335,80,210,12.3,0.9,2.195454545,6.8,3,6,25.7,391,Stanford
Luol Deng,1.8,1.1,0.515,0.36,80,220,15.1,1.3,2.195454545,6.9,1,7,73.2,879,Duke
Rafael Araujo,1.2,0.6,0.587,0.268,83,280,15.1,1.4,2.195454545,9.5,2,8,-0.4,139,Brigham Young
Andre Iguodala,3.4,0.5,0.473,0.274,78,207,9.6,1.5,2.195454545,6.6,2,9,89,976,Arizona
Luke Jackson,3.4,0.3,0.488,0.402,79,215,15.6,1.3,2.195454545,5.9,4,10,22.3,522,Oregon
Kris Humphries,0.7,1.1,0.455,0.34,81,235,21.7,0.9,2.195454545,10.1,1,14,30.3,800,Minnesota
Kirk Snyder,2.7,0.8,0.477,0.31,78,225,16.7,0.9,2.195454545,6.4,3,16,4.5,211,"University of Nevada, Reno"
Jameer Nelson,5.7,0.1,0.514,0.365,72,190,16.8,2,2.195454545,4.6,4,20,47.7,828,St. Joseph's
Delonte West,3,0.2,0.544,0.377,76,180,13.9,1.4,2.195454545,4.2,3,24,24.5,432,St. Joseph's
