Player,ast_per_g,blk_per_g,fg2_pct,fg3_pct,height,lb,pts_per_g,stl_per_g,tov_per_g,trb_per_g,years,School
Lonzo Ball,7.6,0.8,0.732,0.412,78,190,14.6,1.8,2.5,6,1,UCLA
Markelle Fultz,5.9,1.2,0.502,0.413,76,195,23.2,1.6,3.2,5.7,1,Washington
Jayson Tatum,2.1,1.1,0.504,0.342,80,205,16.8,1.3,2.6,7.3,1,Duke
Dennis Smith Jr.,6.2,0.4,0.509,0.359,75,195,18.1,1.9,3.4,4.6,1,North Carolina State
Malik Monk,2.3,0.5,0.497,0.397,75,200,19.8,0.9,2,2.5,1,Kentucky
Josh Jackson,3,1.1,0.549,0.378,80,207,16.3,1.7,2.8,7.4,1,Kansas
Jonathan Isaac,1.2,1.5,0.593,0.348,82,210,12,1.2,1.5,7.8,1,Florida State
Zach Collins,0.4,1.8,0.672,0.476,84,230,10,0.5,1.5,5.9,1,Gonzaga
Justin Jackson,2.6,0.4,0.529,0.339,80,193,13.8,0.6,1.4,4.1,3,North Carolina
Lauri Markkanen,0.9,0.5,0.545,0.423,84,230,15.6,0.4,1.1,7.2,1,Arizona
Jarrett Allen,0.8,1.5,0.579,0,83,235,13.4,0.6,2.5,8.5,1,Texas
TJ Leaf,2.4,1.1,0.644,0.466,82,225,16.3,0.6,1.5,8.2,1,UCLA
OG Anunoby,0.8,0.9,0.652,0.365,80,215,6.8,1,1.1,3.5,2,Indiana
Donovan Mitchell,2.2,0.3,0.497,0.329,75,210,11.7,1.5,1.3,4.1,2,Louisville
Justin Patton,1.2,1.4,0.683,0.533,83,215,12.9,0.9,1.7,6.2,1,Creighton
Harry Giles,0.3,0.7,0.577,0,82,240,3.9,0.3,0.7,3.8,1,Duke
John Collins,0.4,1.2,0.602,0,82,218,13.4,0.5,1.4,7,2,Wake Forest
Luke Kennard,2,0.3,0.527,0.382,77,180,15.7,0.9,1.2,4.3,2,Duke
Edrice Adebayo,0.8,1.5,0.601,0,82,260,13,0.7,1.7,8,1,Kentucky
Ivan Rabb,1.2,1.1,0.549,0.409,83,220,13.2,0.6,1.8,9.4,2,California
Semi Ojeleye,1.5,0.4,0.531,0.424,80,230,18.9,0.4,1.4,6.8,3,SMU
Jawun Evans,5.8,0.1,0.458,0.407,72,175,16.6,1.5,2.7,3.8,2,Oklahoma State
Devin Robinson,0.6,0.6,0.526,0.336,80,178,8.9,0.6,0.9,4.9,3,Florida
Jordan Bell,1.5,2.2,0.622,0.188,79,190,7.8,1.1,1.5,6.8,3,Oregon
Tyler Lydon,1.6,1.6,0.531,0.398,80,205,11.6,1.1,1.5,7.4,2,Syracuse
Ike Anigbogu,0.2,1.2,0.564,0,82,250,4.7,0.2,0.8,4,1,UCLA
Jaron Blossomgame,1.1,0.7,0.541,0.315,79,215,13.5,0.6,1.5,6.5,4,Clemson
D.J. Wilson,0.8,1,0.619,0.363,81,220,7.1,0.4,0.8,3.3,3,Michigan
Josh Hart,1.8,0.3,0.592,0.389,77,205,13.2,1.1,1.3,5.6,4,Villanova
Sindarius Thornwell,3,0.6,0.42,0.34,77,215,14.7,1.5,2.5,5.2,4,South Carolina
Caleb Swanigan,2.4,0.5,0.537,0.376,81,260,14.4,0.4,3,10.4,2,Purdue
Tony Bradley,0.6,0.6,0.573,0,82,240,7.1,0.3,0.7,5.1,1,North Carolina
Nigel Williams-Goss,4.7,0.1,0.527,0.368,75,185,16.8,1.7,2.1,6,3,Gonzaga
Alec Peters,1.5,0.3,0.539,0.416,81,225,17.5,0.8,1.9,7.4,4,Valparaiso
Dillon Brooks,2.6,0.5,0.518,0.362,77,205,14.8,0.9,2.1,4.5,3,Oregon
PJ Dozier,2.4,0.3,0.442,0.277,79,185,10.4,1.3,2.4,3.9,2,South Carolina
Thomas Bryant,1.2,1.2,0.63,0.373,82,245,12.2,0.6,2,6.2,2,Indiana
Dwayne Bacon,1.6,0.1,0.51,0.312,79,210,16.5,1,2.1,5,2,Florida State
Frank Mason,4,0.1,0.471,0.42,71,185,13,1.1,1.9,3.4,4,Kansas
Edmond Sumner,3.8,0.4,0.483,0.285,77,170,11.3,1.2,2.2,3.4,3,Xavier
Cameron Oliver,1.3,2.6,0.53,0.369,80,225,14.6,0.7,2.2,8.9,2,"University of Nevada, Reno"
Isaiah Hicks,0.7,0.5,0.574,0.167,80,230,7.4,0.3,1.1,3.6,4,North Carolina
Nigel Hayes,2.1,0.4,0.478,0.332,80,235,12.4,0.9,1.6,5.3,4,Wisconsin
Melo Trimble,3.9,0.1,0.501,0.343,75,190,15.9,1.2,2.7,3.7,3,Maryland
Kobi Simmons,2,0.1,0.435,0.327,77,175,8.8,0.6,1.2,1.6,1,Arizona
Wesley Iwundu,2.8,0.4,0.488,0.338,79,205,9.5,0.9,2.1,4.7,4,Kansas State
Johnathan Motley,1.3,1.2,0.535,0.245,81,230,12,0.4,2,6.4,3,Baylor
Malcolm Hill,2.1,0.3,0.474,0.351,78,230,13.5,0.9,1.6,4.7,4,Illinois
Monte Morris,5.5,0.3,0.517,0.381,74,170,12.2,1.6,1.2,3.7,4,Iowa State
Luke Kornet,1.1,1.6,0.519,0.32,84,235,8.9,0.4,1.1,4.8,4,Vanderbilt
