Games,Name,WS
335,Anthony Davis,48.8
283,Michael Kidd-Gilchrist,15.5
324,Bradley Beal,21.9
335,Dion Waiters,7.4
313,Thomas Robinson,4.6
396,Damian Lillard,45.5
22,Harry Barnes,-0.4
387,Terrence Ross,14.6
385,Andre Drummond,36.1
347,Austin Rivers,5.5
299,Meyers Leonard,9.4
276,Jeremy Lamb,10.5
160,Kendall Marshall,1
315,John Henson,13.8
356,Maurice Harkless,12.7
324,Rory White,6.5
340,Tyler Zeller,13.8
232,Terrence Jones,14.8
285,Andrew Nicholson,3.8
269,Jared Sullinger,15.3
6,Fab Melo,0
145,John Jenkins,2.7
84,Jared Cunningham,0.2
145,Tony Wroten,-1.3
273,Miles Plumlee,9.2
59,Arnett Moultrie,1.7
143,Perry Jones,1.7
88,Marquis Teague,-0.8
170,Festus Ezeli,5.9
56,Jeff Taylor,-0.1
383,Jae Crowder,21.7
397,Draymond Green,32.9
103,Orlando Johnson,1.4
257,Quincy Acy,7.8
69,Quincy Miller,-0.1
296,Khris Middleton,18
314,Will Barton,9
61,Tyshawn Taylor,-0.9
100,Doron Lamb,0.1
281,Mike Scott,9.2
41,Kim English,0.2
113,Justin Hamilton,3.7
102,Darius Miller,1.2
17,Kevin Murphy,-0.3
321,Kyle O'Quinn,11
10,Kris Joseph,-0.1
59,Dave Johnson,-0.3
98,Robbie Hummel,1.9
0,Marcus Denmon,0
189,Robert Sacre,2.4
