Games,Name,WS
976,Carmelo Anthony,97
893,Chris Bosh,106
915,Dwyane Wade,117.2
735,Chris Kaman,24.6
879,Kirk Hinrich,52.5
429,T.J. Ford,16.9
233,Mike Sweetney,7.8
427,Jarvis Hayes,10.2
895,Nick Collison,44.4
348,Marcus Banks,6.6
830,Luke Ridnour,36
71,Reece Gaines,-0.6
6,Troy Bell,-0.2
961,David West,82.4
657,Damon Jones,28
421,Brian Cook,10.2
507,Josh Howard,38
509,Jason Kapono,10.3
564,Luke Walton,13.5
0,Mario Austin,0
41,Travis Hansen,0.2
870,Steve Blake,29.1
2,Derrick Zimmerman,0
731,Willie Green,12.9
671,Keith Bogans,20.4
792,Matt Bonner,38.5
818,Mo Williams,40
709,James Jones,25.2
1031,Kyle Korver,65.2
0,Tommy Smith,0
0,Ricky Rickert,0
67,Brandon Hunter,0.7
590,Emeka Okafor,44.3
744,Ben Gordon,33.3
846,Devin Harris,50.9
391,Josh Childress,25.7
879,Luol Deng,73.2
139,Rafael Araujo,-0.4
976,Andre Iguodala,89
522,Luke Jackson,22.3
800,Kris Humphries,30.3
211,Kirk Snyder,4.5
828,Jameer Nelson,47.7
432,Delonte West,24.5
798,Tony Allen,38.6
757,Kenyon Martin,48
189,David Harrison,3.2
87,Jackson Vroman,0
36,Lionel Chalmers,-0.2
14,Andre Emmett,0.1
81,Antonio Burks,0.1
492,Royal Ivey,4.5
606,Chris Duhon,25
136,Justin Reed,0.5
574,Danny Young,20.2
875,Trevor Ariza,52.1
0,Tim Pickett,0
128,Bernard Robinson,2
0,Ricky Minard,0
0,Christian Drejer,0
0,Romain Sato,0
42,Matt Freije,-0.6
0,Rickey Paulding,0
16,Luis Flores,0
0,Marcus Douthit,0
0,Blake Stepp,0
0,Rashad Wright,0
671,Andrew Bogut,49.9
861,Marvin Williams,53.9
845,Deron Williams,77.3
834,Chris Paul,154.6
856,Raymond Felton,37.3
656,Charlie Villanueva,22.6
801,Channing Frye,37.3
225,Ike Diogu,6.5
119,Sean May,2.6
249,Rashad McCants,3.6
297,Antoine Wright,3.1
377,Joey Graham,7.8
586,Danny Granger,48.5
526,Hakim Warrick,20.4
23,Julius Hodge,0
618,Nate Robinson,27.8
805,Jarrett Jack,35.7
549,Francisco Garcia,18.2
348,Luther Head,14.7
618,Jason Maxiell,20.3
409,Linas Kleiza,13.6
51,Wayne Simien,0.9
58,David Lee,1.9
157,Salim Stoudamire,2.2
127,Daniel Ewing,0.8
758,Brandon Bass,42.8
473,Ronny Turiaf,19.2
179,Travis Diener,5.6
200,Von Wafer,3.3
17,Chris Taft,0.5
26,Bracey Wright,0.5
487,Ryan Gomes,19.4
23,Robert Whaley,0
131,Orien Greene,-0.7
16,Dijon Thompson,0.2
87,Lawrence Roberts,2.5
30,Alex Acker,-0.2
794,LaMarcus Aldridge,86.7
161,Adam Morrison,-1.4
402,Tyrus Thomas,13
361,Shelden Williams,9.9
326,Brandon Roy,37.4
752,Randy Foye,23.5
753,Rudy Gay,47.4
90,Patrick O'Bryant,0.5
690,J.J. Redick,46.5
292,Hilton Armstrong,3.9
501,Ron Brewer,17.3
75,Cedric Simmons,0.1
299,Rodney Carney,6.2
314,Shawne Williams,6.7
143,Quincy Douby,0
221,Renaldo Balkman,7.2
714,Rajon Rondo,53.5
203,Marcus Williams,0
256,Josh Boone,9.1
713,Kyle Lowry,69.9
408,Shannon Brown,9.2
504,Jordan Farmar,13.9
82,Maurice Ager,-0.9
189,Mardy Collins,-1.6
334,Jahidi White,10.4
467,Steve Novak,14.5
281,Solomon Jones,5
82,Paul Davis,0.5
418,P.J. Tucker,21.1
403,Craig Smith,16
941,Bobby Jones,94.1
68,David Noel,0.4
0,Denham Brown,0
27,James Augustine,0.3
397,Daniel Gibson,16
102,Alexander Johnson,1.5
608,Dee Brown,33.4
837,Paul Millsap,79.6
239,Leon Powe,12
518,Ryan Hollins,10.4
6,Guillermo Diaz,0
73,Hassan Adams,0.8
0,J.R. Pinnock,0
14,Will Blalock,-0.1
105,Greg Oden,7.3
703,Kevin Durant,119.8
646,Al Horford,70.4
706,Mike Conley,62.8
25,Jerry Greenspan,0.4
711,Corey Brewer,19.2
400,Brandan Wright,24.9
618,Joakim Noah,59.6
684,Spencer Hawes,22.6
188,Acie Law,1.6
739,Thaddeus Young,47.3
231,Julian Wright,3.9
296,Al Thornton,6.1
651,Rodney Stuckey,28.7
636,Nick Young,16.9
137,Sean Williams,3
113,Javaris Crittenton,0.1
563,Jason Smith,13.9
612,Darwin Cook,22.9
740,Jared Dudley,39.5
516,Wilson Chandler,23.5
38,Morris Almond,0
613,Aaron Brooks,19.1
709,Arron Afflalo,33.3
352,Al Tucker,11.1
513,Carl Landry,35.9
62,Gabe Pruitt,0.4
13,Marcus Williams,-0.1
26,Nick Fazekas,0.8
514,Glen Davis,18.6
52,Jermareo Davidson,0
431,Josh McRoberts,18.5
70,Chris Richard,0.7
2,Derrick Byars,0.1
0,Adam Haluska,0
0,Reyshawn Terry,0
0,Jared Jordan,0
16,Stephane Lasme,0.3
342,Dominic McGuire,4.1
318,Aaron Gray,6.2
1,JamesOn Curry,0
17,Taurean Green,-0.1
18,Demetris Nichols,-0.2
0,Herbert Hill,0
663,Ramon Sessions,28.5
0,Sammy Mejia,0
33,D.J. Strawberry,-0.2
470,Derrick Rose,34.4
509,Michael Beasley,13
547,O.J. Mayo,21.8
668,Russell Westbrook,80.1
576,Kevin Love,70.6
492,Eric Gordon,26.3
