Player,ast_per_g,blk_per_g,fg2_pct,fg3_pct,height,lb,pts_per_g,stl_per_g,tov_per_g,trb_per_g,years
Carmelo Anthony,2.2,0.9,0.496,0.337,80,230,22.2,1.6,2.2,10,1
Chris Bosh,1.2,2.2,0.575,0.478,82,228,15.6,1,2.3,9,1
Dwyane Wade,3.9,1.2,0.512,0.333,76,212,19.7,2.3,3.1,6.5,2
Chris Kaman,0.8,2.2,0.608,0,84,268,15.1,0.5,3.1,8.5,3
Kirk Hinrich,4.7,0.4,0.542,0.43,75,190,12.4,1.5,2.7,3.8,4
T.J. Ford,8,0.1,0.436,0.228,72,165,12.9,2.1,3.6,3.8,2
Mike Sweetney,1.8,1.9,0.546,0,80,275,18.2,1.1,2.5,9.2,3
Jarvis Hayes,1.8,0.5,0.524,0.372,79,220,18.4,1.2,1.8,4.8,3
Nick Collison,1.8,1.7,0.571,0.359,81,255,14.8,1.1,0,8,4
Marcus Banks,4.3,0.2,0.551,0.33,74,200,18.1,2.5,3.6,3.3,2
Luke Ridnour,5.2,0.1,0.472,0.389,74,175,14.6,1.6,3.2,3,3
Reece Gaines,3.8,0.2,0.502,0.383,78,205,15.6,1.5,2.7,3.4,4
Troy Bell,3.5,0.3,0.467,0.372,73,180,21.6,2.2,2.9,4,4
David West,2.1,1.8,0.54,0.327,81,240,16.9,1.4,2.5,10.4,4
Dahntay Jones,1,0.5,0.527,0.347,78,210,14.3,1,1.8,4.8,4
Brian Cook,1.3,1,0.558,0.339,81,234,13.2,0.7,2,6.2,4
Josh Howard,1.9,1.1,0.522,0.353,79,210,13.9,1.7,2.2,6.6,4
Jason Kapono,2.1,0.1,0.489,0.446,80,213,16.5,0.9,2.3,5.1,4
Luke Walton,4.5,0.4,0.47,0.284,80,235,9.1,1.2,2.6,5.1,4
Mario Austin,1.1,0.6,0.534,0.353,81,0,13.2,0.7,0,6.3,3
Travis Hansen,1.7,0.4,0.455,0.369,78,205,13.2,0.7,2,4.8,3
Steve Blake,7,0.3,0.423,0.381,75,172,8.3,1.7,3.3,3.4,4
Derrick Zimmerman,4,0.7,0.533,0.268,75,195,6.9,1.6,0,3.3,4
Willie Green,2.2,0.3,0.495,0.352,76,200,14.3,0.9,2,4.2,4
Keith Bogans,2.3,0.1,0.527,0.342,77,215,14.2,1.1,2.3,4.1,4
Matt Bonner,1.2,0.5,0.564,0.395,82,240,12,0.7,0,5.9,4
Mo Williams,4.2,0.1,0.492,0.294,73,185,13.1,1.5,3,3.9,2
James Jones,1.2,1.6,0.444,0.383,80,225,11.1,1.1,1.5,5,4
Kyle Korver,2.3,0.5,0.515,0.453,79,210,14.1,1.3,1.8,5.2,4
Tommy Smith,1.7,1.4,0.513,0.31,82,0,9.2,1,0,4.8,4
Rick Rickert,1.3,1,0.518,0.361,83,0,14.9,0.7,0,5.7,2
Brandon Hunter,2.1,0.7,0.525,0.339,79,260,16.9,0.8,3.4,9.3,4
Emeka Okafor,0.8,4.3,0.59,0,82,252,13.8,0.9,0,10.6,3
Ben Gordon,4.1,0.2,0.452,0.423,75,200,16.9,1.2,0,3.9,3
Devin Harris,3.1,0.4,0.522,0.375,75,185,14.8,1.7,0,4.1,3
Josh Childress,1.8,1.1,0.494,0.335,80,210,12.3,0.9,0,6.8,3
Luol Deng,1.8,1.1,0.515,0.36,80,220,15.1,1.3,0,6.9,1
Rafael Araujo,1.2,0.6,0.587,0.268,83,280,15.1,1.4,0,9.5,2
Andre Iguodala,3.4,0.5,0.473,0.274,78,207,9.6,1.5,0,6.6,2
Luke Jackson,3.4,0.3,0.488,0.402,79,215,15.6,1.3,0,5.9,4
Kris Humphries,0.7,1.1,0.455,0.34,81,235,21.7,0.9,0,10.1,1
Kirk Snyder,2.7,0.8,0.477,0.31,78,225,16.7,0.9,0,6.4,3
Jameer Nelson,5.7,0.1,0.514,0.365,72,190,16.8,2,0,4.6,4
Delonte West,3,0.2,0.544,0.377,76,180,13.9,1.4,0,4.2,3
Tony Allen,2.9,0.8,0.508,0.347,76,213,15.3,2,0,5.5,2
Kevin Martin,1.7,0.4,0.542,0.346,79,185,23.3,1.7,0,4.5,3
David Harrison,0.6,2.6,0.602,0,84,280,15,0.6,0,8,3
Jackson Vroman,2.1,1.1,0.569,0.077,82,220,13.2,1.2,0,9.5,2
Lionel Chalmers,3.3,0.1,0.483,0.372,72,180,12.7,1.3,0,2.9,4
Andre Emmett,1.6,0.3,0.52,0.312,77,230,17.6,1.3,0,6,4
Antonio Burks,5.4,0.2,0.484,0.401,73,200,11.3,1.9,0,2.6,3
Royal Ivey,2.3,0.2,0.483,0.338,75,200,7.8,0.9,0,3.1,4
Chris Duhon,5.7,0.1,0.511,0.321,73,185,8.8,2.1,0,3.4,4
Justin Reed,1.1,0.7,0.5,0.285,80,240,14.6,1,0,6.3,4
